A,"Agilent Technologies, Inc. Common Stock"
AA,Alcoa Inc. Common Stock
AADR,WCM BNY Mellon Focused Growth ADR ETF
AAIT,iShares MSCI All Country Asia Information Technology Index Fund
AAL,"American Airlines Group, Inc. - Common Stock"
AAMC,Altisource Asset Management Corp Com
AAME,Atlantic American Corporation - Common Stock
AAN,"Aaron's, Inc. Common Stock"
AAOI,"Applied Optoelectronics, Inc. - Common Stock"
AAON,"AAON, Inc. - Common Stock"
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
AAPL,Apple Inc. - Common Stock
AAT,"American Assets Trust, Inc. Common Stock"
AAU,"Almaden Minerals, Ltd. Ordinary Shares (Canada)"
AAV,Advantage Oil & Gas Ltd  Ordinary Shares
AAWW,Atlas Air Worldwide Holdings - Common Stock
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund
AB,Allianceberstein Holding L.P.  Units
ABAX,"ABAXIS, Inc. - Common Stock"
ABB,ABB Ltd Common Stock
ABBV,AbbVie Inc. Common Stock
ABC,AmerisourceBergen Corporation (Holding Co) Common Stock
ABCB,Ameris Bancorp - Common Stock
ABCD,"Cambium Learning Group, Inc. - Common Stock"
ABCO,The Advisory Board Company - Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABFS,Arkansas Best Corporation - Common Stock
ABG,Asbury Automotive Group Inc Common Stock
ABGB,"Abengoa, S.A. - American Depositary Shares"
ABI,Safety First Trust Series 2009-2
ABIO,"ARCA biopharma, Inc. - Common Stock"
ABM,ABM Industries Incorporated Common Stock
ABMD,"ABIOMED, Inc. - Common Stock"
ABR,Arbor Realty Trust Common Stock
ABT,Abbott Laboratories Common Stock
ABTL,Autobytel Inc. - Common Stock
ABX,Barrick Gold Corporation Common Stock
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock
ACAS,"American Capital, Ltd. - Common Stock"
ACAT,Arctic Cat Inc. - Common Stock
ACC,American Campus Communities Inc Common Stock
ACCL,"Accelrys, Inc. - Common Stock"
ACCO,Acco Brands Corporation Common Stock
ACCU,Accuvest Global Opportunities ETF
ACE,Ace Limited Common Stock
ACET,Aceto Corporation - Common Stock
ACFC,Atlantic Coast Financial Corporation - Common Stock
ACFN,"Acorn Energy, Inc. - Common Stock"
ACG,Alliancebernstein Income Fund
ACGL,Arch Capital Group Ltd. - Common Stock
ACH,Aluminum Corporation of China Limited American Depositary Shares
ACHC,"Acadia Healthcare Company, Inc. - Common Stock"
ACHN,"Achillion Pharmaceuticals, Inc. - Common Stock"
ACI,"Arch Coal, Inc. Common Stock"
ACIM,SPDR MSCI ACWI IMI ETF
ACIW,"ACI Worldwide, Inc. - Common Stock"
ACLS,"Axcelis Technologies, Inc. - Common Stock"
ACM,Aecom Technology Corporation Common Stock
ACMP,"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests"
ACN,Accenture plc. Class A Ordinary Shares (Ireland)
ACNB,ACNB Corporation - Common Stock
ACO,Amcol International Corporation Common Stock
ACOR,"Acorda Therapeutics, Inc. - Common Stock"
ACP,Avenue Income Credit Strategies Fund Common Shares
ACPW,"Active Power, Inc. - Common Stock"
ACRE,Ares Commercial Real Estate Corporation Common Stock
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock"
ACSF,"American Capital Senior Floating, Ltd. - Common Stock"
ACST,"Acasti Pharma, Inc. - Class A Common Stock"
ACT,Actavis plc Ordinary Shares
ACTG,Acacia Research Corporation - Common Stock
ACTS,"Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares"
ACU,Acme United Corporation. Common Stock
